installation_id,year,free,emission
AT_214400,2020,0,17731
AT_201018,2013,7802,16656
AT_201018,2014,7802,13471
AT_201018,2015,7802,15330
AT_201525,2013,43,1339
AT_201525,2014,43,1125
AT_201525,2015,43,1497
AT_201525,2016,43,0
AT_201519,2013,14,0
AT_201519,2014,14,0
AT_201519,2015,14,0
AT_201519,2016,14,0
AT_201519,2017,14,0
AT_201519,2018,14,0
AT_201519,2019,14,0
AT_201519,2020,14,0
AT_201564,2013,3286,5614
AT_201564,2014,3286,508
AT_201564,2015,3286,1747
AT_201564,2016,3286,1289
AT_201564,2017,3286,53
AT_201564,2018,3286,67
AT_201564,2019,3286,214
AT_201564,2020,3289,357
AT_201500,2013,9990,604
AT_201500,2014,8940,350
AT_201500,2015,7919,805
AT_201500,2016,6932,1955
AT_201500,2017,5975,2390
AT_201500,2018,5049,2636
AT_201500,2019,4154,2890
AT_201500,2020,3290,2668
AT_201342,2013,299,11976
AT_201342,2014,299,13971
AT_201342,2015,299,3758
AT_201648,2013,6678,651
AT_201648,2014,5977,411
AT_201648,2015,5295,367
AT_201648,2016,4634,752
AT_201648,2017,3995,1661
AT_201648,2018,3376,1363
AT_201648,2019,2777,1644
AT_201648,2020,2199,1222
AT_201641,2013,78,6352
AT_201641,2014,78,8254
AT_201641,2015,78,9393
AT_201641,2016,78,9211
AT_201641,2017,78,10026
AT_201641,2018,78,10214
AT_201641,2019,78,12533
AT_201641,2020,83,10516
AT_201999,2013,23010,21469
AT_201999,2014,28263,21243
AT_201999,2015,27758,20566
AT_201999,2016,27247,21807
AT_201999,2017,26730,21762
AT_201999,2018,26209,22517
AT_201999,2019,25681,23418
AT_201999,2020,25152,24971
AT_202607,2013,6,780
AT_202607,2014,6,876
AT_202607,2015,6,0
AT_202607,2016,6,0
AT_202607,2017,6,0
AT_202607,2018,6,0
AT_202607,2019,6,643
AT_202607,2020,6,0
AT_201494,2013,15,779
AT_201494,2014,15,649
AT_201494,2015,15,0
AT_201494,2016,15,0
AT_201494,2017,15,0
AT_201494,2018,15,0
AT_201494,2019,15,0
AT_201494,2020,16,0
AT_201866,2013,38715,49557
AT_201866,2014,42531,51868
AT_201866,2015,50892,59938
AT_201866,2016,50126,63266
AT_201866,2017,54109,69453
AT_201866,2018,55100,70395
AT_201866,2019,54012,73385
AT_201866,2020,52920,64595
AT_201868,2013,14285,12580
AT_201868,2014,14037,14041
AT_201868,2015,15678,16113
AT_201868,2016,15606,17237
AT_201868,2017,17496,20084
AT_201868,2018,19266,21923
AT_201868,2019,18885,22778
AT_201868,2020,18503,19672
AT_202677,2013,33301,40778
AT_202677,2014,32722,39689
AT_202677,2015,32137,39684
AT_202677,2016,31545,39556
AT_202677,2017,30949,34815
AT_202677,2018,30344,36228
AT_202677,2019,29733,36151
AT_202677,2020,29121,36870
AT_202913,2013,0,5152
AT_202913,2014,0,5935
AT_202913,2015,0,5432
AT_202913,2016,0,7929
AT_202913,2017,366,8754
AT_202913,2018,366,296662
AT_202913,2019,366,505204
AT_202913,2020,366,92848
AT_203413,2013,2,0
AT_203413,2014,2,0
AT_203413,2015,2,0
AT_203413,2016,2,0
AT_203413,2017,2,0
AT_203413,2018,2,0
AT_203413,2019,2,0
AT_203413,2020,2,0
AT_203383,2013,0,2944
AT_203383,2014,0,3035
AT_203332,2013,0,399
AT_203332,2014,0,647
AT_203332,2015,0,552
AT_203332,2016,0,765
AT_203332,2017,0,681
AT_203332,2018,0,544
AT_203332,2019,0,179
AT_201691,2013,47065,48771
AT_201691,2014,46248,48347
AT_201691,2015,45421,49176
AT_201691,2016,44585,58446
AT_201691,2017,43741,56375
AT_201691,2018,42887,44464
AT_201691,2019,42024,39612
AT_201691,2020,41158,33031
AT_201690,2013,43969,49942
AT_201690,2014,43206,51351
AT_201690,2015,42433,53796
AT_201690,2016,41652,46625
AT_201690,2017,40863,48582
AT_201690,2018,40066,49661
AT_201690,2019,39259,48666
AT_201690,2020,38450,48285
AT_202778,2013,32870,36761
AT_202778,2014,32300,34416
AT_202778,2015,31723,33222
AT_202778,2016,31143,37673
